,index,seed,batch_size,learning_rate,accuracy
472,52,2211357247,70,0.01,99.00999999999999
473,53,2237511781,10,0.001,99.31
474,53,2237511781,10,0.005,99.07000000000001
475,53,2237511781,10,0.01,99.18
476,53,2237511781,40,0.001,99.39
477,53,2237511781,40,0.005,99.32
478,53,2237511781,40,0.01,99.27
479,53,2237511781,70,0.001,98.99
480,53,2237511781,70,0.005,98.91
481,53,2237511781,70,0.01,98.28
482,54,2267540437,10,0.001,99.19
483,54,2267540437,10,0.005,99.26
484,54,2267540437,10,0.01,99.32
485,54,2267540437,40,0.001,99.45
486,54,2267540437,40,0.005,99.4
487,54,2267540437,40,0.01,99.24
488,54,2267540437,70,0.001,99.22
489,54,2267540437,70,0.005,98.72999999999999
490,54,2267540437,70,0.01,98.69
491,55,2310252952,10,0.001,99.38
492,55,2310252952,10,0.005,99.07000000000001
493,55,2310252952,10,0.01,99.18
494,55,2310252952,40,0.001,99.36
495,55,2310252952,40,0.005,99.45
496,55,2310252952,40,0.01,99.31
497,55,2310252952,70,0.001,99.11
498,55,2310252952,70,0.005,98.78
499,55,2310252952,70,0.01,98.89
500,56,2324187639,10,0.001,99.35000000000001
501,56,2324187639,10,0.005,99.24
502,56,2324187639,10,0.01,99.19
503,56,2324187639,40,0.001,99.45
504,56,2324187639,40,0.005,99.29
505,56,2324187639,40,0.01,99.29
506,56,2324187639,70,0.001,99.03999999999999
507,56,2324187639,70,0.005,98.81
508,56,2324187639,70,0.01,99.02
509,57,2360865184,10,0.001,99.3
510,57,2360865184,10,0.005,99.14
511,57,2360865184,10,0.01,99.14
512,57,2360865184,40,0.001,99.42
513,57,2360865184,40,0.005,99.24
514,57,2360865184,40,0.01,99.41
515,57,2360865184,70,0.001,98.98
516,57,2360865184,70,0.005,99.00999999999999
517,57,2360865184,70,0.01,99.09
518,58,2385271517,10,0.001,99.29
519,58,2385271517,10,0.005,99.42999999999999
520,58,2385271517,10,0.01,99.27
521,58,2385271517,40,0.001,99.15
522,58,2385271517,40,0.005,99.33999999999999
523,58,2385271517,40,0.01,99.32
524,58,2385271517,70,0.001,99.13
525,58,2385271517,70,0.005,98.96000000000001
526,58,2385271517,70,0.01,99.14
527,59,240836942,10,0.001,99.37
528,59,240836942,10,0.005,99.22999999999999
529,59,240836942,10,0.01,99.24
530,59,240836942,40,0.001,99.55000000000001
531,59,240836942,40,0.005,99.39
532,59,240836942,40,0.01,99.1
533,59,240836942,70,0.001,99.1
534,59,240836942,70,0.005,99.0
535,59,240836942,70,0.01,99.11
536,60,2432527521,10,0.001,99.2
537,60,2432527521,10,0.005,99.25
538,60,2432527521,10,0.01,99.06
539,60,2432527521,40,0.001,99.42
540,60,2432527521,40,0.005,99.36
541,60,2432527521,40,0.01,99.26
542,60,2432527521,70,0.001,98.56
543,60,2432527521,70,0.005,99.06
544,60,2432527521,70,0.01,98.92999999999999
545,61,2483775775,10,0.001,99.32
546,61,2483775775,10,0.005,99.14
547,61,2483775775,10,0.01,99.2
548,61,2483775775,40,0.001,99.45
549,61,2483775775,40,0.005,99.31
550,61,2483775775,40,0.01,99.26
551,61,2483775775,70,0.001,99.03999999999999
552,61,2483775775,70,0.005,99.07000000000001
553,61,2483775775,70,0.01,98.46000000000001
554,62,2497468744,10,0.001,99.24
555,62,2497468744,10,0.005,99.25
556,62,2497468744,10,0.01,99.19
557,62,2497468744,40,0.001,99.39
558,62,2497468744,40,0.005,99.28
559,62,2497468744,40,0.01,99.29
560,62,2497468744,70,0.001,99.19
561,62,2497468744,70,0.005,98.96000000000001
562,62,2497468744,70,0.01,98.91
563,63,2511520581,10,0.001,99.36
564,63,2511520581,10,0.005,99.16
565,63,2511520581,10,0.01,99.26
566,63,2511520581,40,0.001,99.46000000000001
567,63,2511520581,40,0.005,99.41
568,63,2511520581,40,0.01,99.29
569,63,2511520581,70,0.001,99.24
570,63,2511520581,70,0.005,99.03
571,63,2511520581,70,0.01,98.61999999999999
572,64,2515619726,10,0.001,99.37
573,64,2515619726,10,0.005,99.33999999999999
574,64,2515619726,10,0.01,99.16
575,64,2515619726,40,0.001,99.35000000000001
576,64,2515619726,40,0.005,99.13
577,64,2515619726,40,0.01,99.26
578,64,2515619726,70,0.001,99.19
579,64,2515619726,70,0.005,98.81
580,64,2515619726,70,0.01,98.92
581,65,2529251996,10,0.001,99.11999999999999
582,65,2529251996,10,0.005,99.24
583,65,2529251996,10,0.01,99.26
584,65,2529251996,40,0.001,99.48
585,65,2529251996,40,0.005,99.33
586,65,2529251996,40,0.01,99.36
587,65,2529251996,70,0.001,99.09
588,65,2529251996,70,0.005,98.82
