index,fusion method,rgb_equalization,th_equalization,R,P,mAP50,mAP50-95
228,VTHS,none,clahe,0.8955673331727294,0.9615521491447027,0.954370125395476,0.6535430683808043
229,VTHS,none,clahe,0.886977799288086,0.9525268745680244,0.9514540698071869,0.6591679778057502
230,VTHS,none,clahe,0.9210422178381706,0.9556332769518974,0.9681674402229921,0.6650007615269761
231,VTHS,none,clahe,0.8778074227765066,0.9483379471201691,0.9428644657453555,0.6333098807538318
232,VTHS,none,clahe,0.8821117552146219,0.9458816571743514,0.9435594705894215,0.642429704598271
233,VTHS,none,clahe,0.9156829679595279,0.9619103144142769,0.9657572330144542,0.6624566142784236
234,VTHS,none,clahe,0.8864425133396465,0.9583292407092164,0.9497633285304103,0.6510119259684023
235,VTHS,none,clahe,0.8854492893278728,0.9583722681189478,0.9485456624990525,0.642318870021471
236,VTHS,none,clahe,0.8618405203565406,0.9454542988778624,0.9356471962912399,0.6083471149307826
237,VTHS,none,clahe,0.9288835129194882,0.9618339219297248,0.9727894431984927,0.6733152479175735
238,VTHS,none,clahe,0.8886544079268723,0.9517519515539012,0.9559310206259509,0.6563005456046144
239,VTHS,none,clahe,0.9180450540363814,0.9587401143399881,0.9688364010285335,0.6643933003566491
