index,seed,batch_size,learning_rate,mse_x100
148,836139446,16,0.0001,2.625049
685,3718607756,16,0.0001,2.228436
545,2913565300,16,0.0001,1.853947
790,4230484950,16,0.0001,1.423501
622,3280069301,16,0.0001,1.42405
765,4096716347,16,0.0001,1.324883
694,3773467844,16,0.0001,1.588113
539,2858412184,16,0.0001,1.11222
123,698661837,16,0.0001,1.818684
607,3213404351,16,0.0001,1.770797
104,611470222,16,0.0001,1.67649
720,3919981646,16,0.0001,1.5933
520,2708084368,16,0.0001,1.731468
322,1829731540,16,0.0001,1.998526
173,980874954,16,0.0001,1.644444
132,725457662,16,0.0001,1.789777
494,2609623421,16,0.0001,1.281493
736,3996925899,16,0.0001,2.184846
567,3023607553,16,0.0001,2.284113
167,951959350,16,0.0001,1.954461
627,3296276165,16,0.0001,2.342682
161,917863822,16,0.0001,1.805078
470,2480612162,16,0.0001,2.270225
357,2000270744,16,0.0001,1.513718
122,697844756,16,0.0001,1.803214
154,864008938,16,0.0001,1.666571
577,3072429963,16,0.0001,1.941092
250,1458998622,16,0.0001,1.30241
636,3391064686,16,0.0001,2.621524
673,3637313944,16,0.0001,1.257871
503,2647815294,16,0.0001,1.285349
681,3682284103,16,0.0001,1.392483
604,3198439550,16,0.0001,2.448274
258,1519477814,16,0.0001,1.512238
284,1645407601,16,0.0001,1.649379
152,855424845,16,0.0001,1.50519
750,4020386450,16,0.0001,1.801061
74,467725909,16,0.0001,1.664782
282,1642417931,16,0.0001,2.244626
121,694347933,16,0.0001,2.023176
283,1643975504,16,0.0001,1.824131
688,3723487701,16,0.0001,1.794364
533,2802523470,16,0.0001,2.314927
71,450306503,16,0.0001,1.266889
97,582450454,16,0.0001,1.989568
