index,seed,epsilon,learning_rate,mse_x100
305,1740657698,10,0.0001,1.112496
222,1281053093,10,0.0001,1.014718
189,1102366978,10,0.0001,1.001998
374,2099056470,10,0.0001,0.982388
286,1648915741,10,0.0001,0.938456
411,2236230105,10,0.0001,0.901181
54,356820335,10,0.0001,0.967211
370,2085402742,10,0.0001,0.982268
662,3567186481,10,0.0001,1.006287
138,753258402,10,0.0001,1.048573
93,558857333,10,0.0001,1.045729
527,2762026155,10,0.0001,0.973678
107,625934881,10,0.0001,1.011268
185,1081785006,10,0.0001,0.901165
341,1914322909,10,0.0001,0.931021
433,2324132397,10,0.0001,1.103343
646,3459692484,10,0.0001,1.055175
359,2023023855,10,0.0001,0.972357
415,2248853483,10,0.0001,1.065201
327,1854328951,10,0.0001,0.913351
404,2206623722,10,0.0001,1.018259
716,3904340210,10,0.0001,0.925207
384,2129571036,10,0.0001,1.034215
139,755005459,10,0.0001,0.993499
182,1058247394,10,0.0001,1.046649
200,1162160888,10,0.0001,0.810483
114,671370736,10,0.0001,1.027564
296,1688685383,10,0.0001,0.950114
269,1566897210,10,0.0001,1.020173
278,1610757762,10,0.0001,0.997744
281,1633689763,10,0.0001,0.981908
461,2449843404,10,0.0001,1.027394
789,4227551937,10,0.0001,1.103758
592,3137472214,10,0.0001,0.993976
57,387251681,10,0.0001,0.858857
49,322970820,10,0.0001,1.088595
782,4182180763,10,0.0001,0.987056
19,111036138,10,0.0001,0.990566
719,3918590227,10,0.0001,0.839122
676,3668988830,10,0.0001,0.944873
492,2595817034,10,0.0001,1.046942
414,2247048610,10,0.0001,1.095537
230,1338504106,10,0.0001,0.990945
513,2683705773,10,0.0001,0.934883
383,2127800988,10,0.0001,1.013892
226,1306658282,10,0.0001,0.94417
731,3980326754,10,0.0001,0.943691
59,394648074,10,0.0001,0.862672
791,4235440863,10,0.0001,0.943271
562,3003078969,10,0.0001,0.979458
473,2496665773,10,0.0001,0.948226
590,3122884426,10,0.0001,1.14364
255,1504865558,10,0.0001,0.987222
64,432844083,10,0.0001,1.055513
568,3029774721,10,0.0001,1.142402
